Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Sector,01_Business Sector,2023,272,R,NZ Dollars (millions),1 and 12 and 15 and 28,11.2,Sector
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,ANZSIC_1_Digit,F_Wholesale Trade,2022,102,R,NZ Dollars (millions),12 and 15 and 18 and 28,13.2,ANZSIC_1_Digit
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2022,354,R,NZ Dollars (millions),5 and 12,17,Size
_11_Broad_purpose_of_research:_Primary_Industries,Size,06_100 or more employees,2022,529,R,NZ Dollars (millions),5 and 12 and 15 and 17 and 28,6.2,Size
_12e_Purpose_of_research:_Commercial_services_and_tourism,Sector,01_Business Sector,2022,346,R,NZ Dollars (millions),1 and 12 and 15 and 28,15.7,Sector
_31_Personnel_by_Qualification:_Headcount:_Total,Sector,01_Business Sector,2023,30000,R,Number of employees,1 and 14 and 28,5.8,Sector
_51_Funding_of_RD_undertaken_externally_by_the:_Private_Sector,Industry,02_Manufacturing Industry Group,2022,12,R,NZ Dollars (millions),7 and 9 and 28,81.1,Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Published_Industry,10_Wholesale trade,2022,16,R,NZ Dollars (millions),12 and 28,13.3,Published_Industry
_12b_Purpose_of_research:_Manufacturing,Sector,01_Business Sector,2023,569,R,NZ Dollars (millions),1 and 12 and 15 and 28,8.2,Sector
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,ANZSIC_1_Digit,C_Manufacturing,2022,660,R,Number of employees,14 and 28,9.9,ANZSIC_1_Digit
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2023,153,R,NZ Dollars (millions),12,14,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,1182,R,NZ Dollars (millions),12 and 15 and 18 and 28,9.7,ANZSIC_1_Digit
_17_Type_of_research:_Experimental,Industry,03_Services Industry Group,2023,1364,R,NZ Dollars (millions),12 and 26 and 28,12.9,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Industry,03_Services Industry Group,2022,1466,R,NZ Dollars (millions),12 and 28,8,Industry
